estado;codigo;numero;municipio;populacao
SP;35;20004;Igaraçu do Tietê;24.821
SP;35;20103;Igarapava;30.791
SP;35;20202;Igaratá;9.631
SP;35;20301;Iguape;31.117
SP;35;20400;Ilhabela;36.194
SP;35;20426;Ilha Comprida;11.552
SP;35;20442;Ilha Solteira;26.886
SP;35;20509;Indaiatuba;260.690
SP;35;20608;Indiana;4.873
SP;35;20707;Indiaporã;3.876
SP;35;20806;Inúbia Paulista;4.045
SP;35;20905;Ipaussu;15.165
SP;35;21002;Iperó;38.771
SP;35;21101;Ipeúna;7.824
SP;35;21150;Ipiguá;5.557
SP;35;21200;Iporanga;4.180
SP;35;21309;Ipuã;16.794
SP;35;21408;Iracemápolis;24.982
SP;35;21507;Irapuã;8.101
SP;35;21606;Irapuru;8.356
SP;35;21705;Itaberá;17.405
SP;35;21804;Itaí;27.632
SP;35;21903;Itajobi;15.331
SP;35;22000;Itaju;3.937
SP;35;22109;Itanhaém;104.351
SP;35;22158;Itaoca;3.332
SP;35;22208;Itapecerica da Serra;179.574
SP;35;22307;Itapetininga;167.106
SP;35;22406;Itapeva;95.241
SP;35;22505;Itapevi;244.131
SP;35;22604;Itapira;75.683
SP;35;22653;Itapirapuã Paulista;4.294
SP;35;22703;Itápolis;43.536
SP;35;22802;Itaporanga;15.197
SP;35;22901;Itapuí;14.297
SP;35;23008;Itapura;4.994
SP;35;23107;Itaquaquecetuba;379.082
SP;35;23206;Itararé;50.778
SP;35;23305;Itariri;17.754
SP;35;23404;Itatiba;124.254
SP;35;23503;Itatinga;21.139
SP;35;23602;Itirapina;18.610
SP;35;23701;Itirapuã;6.587
SP;35;23800;Itobi;7.862
SP;35;23909;Itu;177.150
SP;35;24006;Itupeva;64.330
SP;35;24105;Ituverava;42.259
SP;35;24204;Jaborandi;6.963
SP;35;24303;Jaboticabal;78.029
SP;35;24402;Jacareí;237.119
SP;35;24501;Jaci;7.322
SP;35;24600;Jacupiranga;17.911
SP;35;24709;Jaguariúna;59.921
SP;35;24808;Jales;49.291
SP;35;24907;Jambeiro;6.828
SP;35;25003;Jandira;127.734
SP;35;25102;Jardinópolis;45.544
SP;35;25201;Jarinu;31.173
SP;35;25300;Jaú;153.463
SP;35;25409;Jeriquara;3.143
SP;35;25508;Joanópolis;13.453
